iter	Passed	Remaining
635	1129	646
636	1131	644
637	1132	642
638	1134	640
639	1135	638
640	1137	636
641	1138	634
642	1139	632
643	1141	630
644	1142	628
645	1144	627
646	1145	625
647	1147	623
648	1148	621
649	1150	619
650	1151	617
651	1153	615
652	1154	613
653	1156	611
654	1157	609
655	1159	608
656	1161	606
657	1163	604
658	1165	602
659	1166	601
660	1168	599
661	1170	597
662	1171	595
663	1173	593
664	1175	591
665	1176	590
666	1178	588
667	1180	586
668	1181	584
669	1183	582
670	1184	580
671	1186	578
672	1187	577
673	1189	575
674	1191	573
675	1192	571
676	1194	569
677	1195	567
678	1197	566
679	1198	564
680	1200	562
681	1201	560
682	1203	558
683	1204	556
684	1206	554
685	1208	552
686	1209	551
687	1211	549
688	1213	547
689	1214	545
690	1216	543
691	1217	541
692	1218	539
693	1220	538
694	1221	536
695	1222	534
696	1224	532
697	1225	530
698	1227	528
699	1228	526
700	1229	524
701	1231	522
702	1233	521
703	1235	519
704	1236	517
705	1238	515
706	1239	513
707	1241	511
708	1242	510
709	1244	508
710	1245	506
711	1247	504
712	1248	502
713	1250	500
714	1251	498
715	1253	497
716	1254	495
717	1255	493
718	1257	491
719	1258	489
720	1260	487
721	1261	485
722	1262	483
723	1264	482
724	1266	480
725	1267	478
726	1268	476
727	1270	474
728	1272	472
729	1273	471
730	1274	469
731	1276	467
732	1277	465
733	1279	463
734	1280	461
735	1281	459
736	1283	458
737	1285	456
738	1287	454
739	1289	452
740	1290	451
741	1291	449
742	1293	447
743	1294	445
744	1295	443
745	1297	441
746	1298	439
747	1300	437
748	1301	436
749	1302	434
750	1304	432
751	1305	430
752	1307	428
753	1308	427
754	1310	425
755	1312	423
756	1313	421
757	1315	419
758	1316	418
759	1318	416
760	1319	414
761	1321	412
762	1322	410
763	1323	408
764	1324	406
765	1326	405
766	1327	403
767	1328	401
768	1330	399
769	1331	397
770	1332	395
771	1334	394
772	1335	392
773	1337	390
774	1339	388
775	1340	386
776	1341	385
777	1343	383
778	1345	381
779	1347	379
780	1348	378
781	1349	376
782	1351	374
783	1352	372
784	1354	371
785	1356	369
786	1357	367
787	1359	365
788	1360	363
789	1362	362
790	1363	360
791	1365	358
792	1366	356
793	1368	355
794	1369	353
795	1371	351
796	1372	349
797	1374	347
798	1375	346
799	1377	344
800	1379	342
801	1380	340
802	1381	339
803	1383	337
804	1385	335
805	1388	334
806	1389	332
807	1391	330
808	1393	329
809	1395	327
810	1396	325
811	1398	323
812	1399	322
813	1401	320
814	1403	318
815	1404	316
816	1406	315
817	1408	313
818	1409	311
819	1411	309
820	1413	308
821	1415	306
822	1417	304
823	1418	303
824	1420	301
825	1422	299
826	1423	297
827	1426	296
828	1428	294
829	1430	292
830	1431	291
831	1434	289
832	1435	287
833	1436	286
834	1438	284
835	1439	282
836	1442	280
837	1444	279
838	1446	277
839	1449	276
840	1451	274
841	1453	272
842	1455	271
843	1457	269
844	1458	267
845	1460	265
846	1461	264
847	1463	262
848	1479	263
849	1480	261
850	1482	259
851	1483	257
852	1485	255
853	1486	254
854	1488	252
855	1489	250
856	1492	248
857	1508	249
858	1509	247
859	1511	246
860	1512	244
861	1514	242
862	1516	240
863	1517	238
864	1519	237
865	1521	235
866	1522	233
867	1523	231
868	1525	229
869	1527	228
870	1528	226
871	1530	224
872	1531	222
873	1533	221
874	1534	219
875	1536	217
876	1538	215
877	1540	214
878	1542	212
879	1543	210
880	1547	208
881	1549	207
882	1550	205
883	1552	203
884	1553	201
885	1555	200
886	1556	198
887	1558	196
888	1559	194
889	1561	192
890	1562	191
891	1564	189
892	1565	187
893	1567	185
894	1569	184
895	1571	182
896	1572	180
897	1574	178
898	1575	176
899	1577	175
900	1578	173
901	1579	171
902	1581	169
903	1582	168
904	1584	166
905	1585	164
906	1586	162
907	1588	160
908	1589	159
909	1590	157
910	1592	155
911	1594	153
912	1595	152
913	1596	150
914	1598	148
915	1600	146
916	1602	145
917	1604	143
918	1607	141
919	1608	139
920	1610	138
921	1612	136
922	1613	134
923	1615	132
924	1616	131
925	1618	129
926	1619	127
927	1621	125
928	1622	124
929	1624	122
930	1625	120
931	1627	118
932	1628	116
933	1630	115
934	1631	113
935	1633	111
936	1635	109
937	1637	108
938	1639	106
939	1640	104
940	1642	102
941	1643	101
942	1645	99
943	1646	97
944	1648	95
945	1649	94
946	1651	92
947	1652	90
948	1654	88
949	1656	87
950	1657	85
951	1659	83
952	1660	81
953	1662	80
954	1663	78
955	1664	76
956	1666	74
957	1668	73
958	1670	71
959	1682	70
960	1683	68
961	1685	66
962	1686	64
963	1687	63
964	1689	61
965	1690	59
966	1692	57
967	1693	55
968	1695	54
969	1696	52
970	1697	50
971	1699	48
972	1701	47
973	1702	45
974	1704	43
975	1706	41
976	1707	40
977	1709	38
978	1711	36
979	1713	34
980	1715	33
981	1717	31
982	1718	29
983	1720	27
984	1722	26
985	1723	24
986	1724	22
987	1726	20
988	1727	19
989	1729	17
990	1730	15
991	1731	13
992	1733	12
993	1735	10
994	1736	8
995	1738	6
996	1739	5
997	1741	3
998	1742	1
999	1744	0
